@RELATION output5000

@ATTRIBUTE chocolatecake { t}
@ATTRIBUTE lemoncake { t}
@ATTRIBUTE casinocake { t}
@ATTRIBUTE operacake { t}
@ATTRIBUTE strawberrycake { t}
@ATTRIBUTE trufflecake { t}
@ATTRIBUTE chocolateeclair { t}
@ATTRIBUTE coffeeeclair { t}
@ATTRIBUTE vanillaeclair { t}
@ATTRIBUTE napoleoncake { t}
@ATTRIBUTE almondtart { t}
@ATTRIBUTE applepie { t}
@ATTRIBUTE appletart { t}
@ATTRIBUTE apricottart { t}
@ATTRIBUTE berrytart { t}
@ATTRIBUTE blackberrytart { t}
@ATTRIBUTE blueberrytart { t}
@ATTRIBUTE chocolatetart { t}
@ATTRIBUTE cherrytart { t}
@ATTRIBUTE lemontart { t}
@ATTRIBUTE pecantart { t}
@ATTRIBUTE ganachecookie { t}
@ATTRIBUTE gongolaiscookie { t}
@ATTRIBUTE raspberrycookie { t}
@ATTRIBUTE lemoncookie { t}
@ATTRIBUTE chocolatemeringue { t}
@ATTRIBUTE vanillameringue { t}
@ATTRIBUTE marzipancookie { t}
@ATTRIBUTE tuilecookie { t}
@ATTRIBUTE walnutcookie { t}
@ATTRIBUTE almondcroissant { t}
@ATTRIBUTE applecroissant { t}
@ATTRIBUTE apricotcroissant { t}
@ATTRIBUTE cheesecroissant { t}
@ATTRIBUTE chocolatecroissant { t}
@ATTRIBUTE apricotdanish { t}
@ATTRIBUTE appledanish { t}
@ATTRIBUTE almondtwist { t}
@ATTRIBUTE almondbearclaw { t}
@ATTRIBUTE blueberrydanish { t}
@ATTRIBUTE lemonade { t}
@ATTRIBUTE raspberrylemonade { t}
@ATTRIBUTE orangejuice { t}
@ATTRIBUTE greentea { t}
@ATTRIBUTE bottledwater { t}
@ATTRIBUTE hotcoffee { t}
@ATTRIBUTE chocolatecoffee { t}
@ATTRIBUTE frap { t}
@ATTRIBUTE soda { t}
@ATTRIBUTE espresso { t}
@data
?,?,?,?,t,t,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
t,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?
?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?
